Time [s],Channel 0,Channel 1,Channel 2
2025-09-21T17:21:31.397668680+00:00,1,1,1
2025-09-21T17:21:31.397686040+00:00,0,1,1
2025-09-21T17:21:31.397712080+00:00,1,1,1
2025-09-21T17:21:31.397729440+00:00,0,1,1
2025-09-21T17:21:31.397738120+00:00,1,1,1
2025-09-21T17:21:31.397746800+00:00,0,1,1
2025-09-21T17:21:31.397755480+00:00,1,1,1
2025-09-21T17:21:31.397764160+00:00,0,1,1
2025-09-21T17:21:31.397772800+00:00,1,1,1
2025-09-21T17:21:31.397781520+00:00,0,1,1
2025-09-21T17:21:31.397798840+00:00,1,1,1
2025-09-21T17:21:31.397816200+00:00,0,1,1
2025-09-21T17:21:31.397824880+00:00,1,1,1
2025-09-21T17:21:31.397833560+00:00,0,1,1
2025-09-21T17:21:31.397842240+00:00,1,1,1
2025-09-21T17:21:31.397885640+00:00,0,1,1
2025-09-21T17:21:31.397894320+00:00,1,1,1
2025-09-21T17:21:31.397903000+00:00,0,1,1
2025-09-21T17:21:31.397911680+00:00,1,1,1
2025-09-21T17:21:31.397920360+00:00,0,1,1
2025-09-21T17:21:31.397946360+00:00,1,1,1
2025-09-21T17:21:31.397955080+00:00,0,1,1
2025-09-21T17:21:31.397963720+00:00,1,1,1
2025-09-21T17:21:31.397989760+00:00,0,1,1
2025-09-21T17:21:31.397998440+00:00,1,1,1
2025-09-21T17:21:31.398007120+00:00,0,1,1
2025-09-21T17:21:31.398041840+00:00,1,1,1
2025-09-21T17:21:31.398050520+00:00,0,1,1
2025-09-21T17:21:31.398059200+00:00,1,1,1
2025-09-21T17:21:31.398076560+00:00,0,1,1
2025-09-21T17:21:31.398085240+00:00,1,1,1
2025-09-21T17:21:31.398093920+00:00,0,1,1
2025-09-21T17:21:31.398111280+00:00,1,1,1
2025-09-21T17:21:31.398119960+00:00,0,1,1
2025-09-21T17:21:31.398137280+00:00,1,1,1
2025-09-21T17:21:31.398163320+00:00,0,1,1
2025-09-21T17:21:31.398172000+00:00,1,1,1
2025-09-21T17:21:31.398180680+00:00,0,1,1
2025-09-21T17:21:31.398189360+00:00,1,1,1
2025-09-21T17:21:31.398198040+00:00,0,1,1
2025-09-21T17:21:31.398206720+00:00,1,1,1
2025-09-21T17:21:31.398215400+00:00,0,1,1
2025-09-21T17:21:31.398232760+00:00,1,1,1
2025-09-21T17:21:31.398250120+00:00,0,1,1
2025-09-21T17:21:31.398258800+00:00,1,1,1
2025-09-21T17:21:31.398267480+00:00,0,1,1
2025-09-21T17:21:31.398276160+00:00,1,1,1
2025-09-21T17:21:31.398284840+00:00,0,1,1
2025-09-21T17:21:31.398319520+00:00,1,1,1
2025-09-21T17:21:31.398336880+00:00,0,1,1
2025-09-21T17:21:31.398345560+00:00,1,1,1
2025-09-21T17:21:31.398354240+00:00,0,1,1
2025-09-21T17:21:31.398380280+00:00,1,1,1
2025-09-21T17:21:31.398388960+00:00,0,1,1
2025-09-21T17:21:31.398406320+00:00,1,1,1
2025-09-21T17:21:31.398423680+00:00,0,1,1
2025-09-21T17:21:31.398432360+00:00,1,1,1
2025-09-21T17:21:31.398441040+00:00,0,1,1
2025-09-21T17:21:31.398458360+00:00,1,1,1
2025-09-21T17:21:31.398467080+00:00,0,1,1
2025-09-21T17:21:31.398475720+00:00,1,1,1
2025-09-21T17:21:31.398501760+00:00,0,1,1
2025-09-21T17:21:31.398519120+00:00,1,1,1
2025-09-21T17:21:31.398527800+00:00,0,1,1
2025-09-21T17:21:31.398579880+00:00,1,1,1
2025-09-21T17:21:31.398588560+00:00,0,1,1
2025-09-21T17:21:31.398605920+00:00,1,1,1
2025-09-21T17:21:31.398614600+00:00,0,1,1
2025-09-21T17:21:31.398623280+00:00,1,1,1
2025-09-21T17:21:31.398640640+00:00,0,1,1
2025-09-21T17:21:31.398657960+00:00,1,1,1
2025-09-21T17:21:31.398684000+00:00,0,1,1
2025-09-21T17:21:31.398692680+00:00,1,1,1
2025-09-21T17:21:31.398701360+00:00,0,1,1
2025-09-21T17:21:31.398727400+00:00,1,1,1
2025-09-21T17:21:31.398736080+00:00,0,1,1
2025-09-21T17:21:31.398744760+00:00,1,1,1
2025-09-21T17:21:31.398770800+00:00,0,1,1
2025-09-21T17:21:31.398779480+00:00,1,1,1
2025-09-21T17:21:31.398788160+00:00,0,1,1
2025-09-21T17:21:31.398796840+00:00,1,1,1
2025-09-21T17:21:31.398805520+00:00,0,1,1
2025-09-21T17:21:31.398840200+00:00,1,1,1
2025-09-21T17:21:31.398857560+00:00,0,1,1
2025-09-21T17:21:31.398866240+00:00,1,1,1
2025-09-21T17:21:31.398874920+00:00,0,1,1
2025-09-21T17:21:31.398892280+00:00,1,1,1
2025-09-21T17:21:31.398900960+00:00,0,1,1
2025-09-21T17:21:31.398918320+00:00,1,1,1
2025-09-21T17:21:31.398944360+00:00,0,1,1
2025-09-21T17:21:31.398953040+00:00,1,1,1
2025-09-21T17:21:31.398961720+00:00,0,1,1
2025-09-21T17:21:31.398987720+00:00,1,1,1
2025-09-21T17:21:31.398996440+00:00,0,1,1
2025-09-21T17:21:31.399005080+00:00,1,1,1
2025-09-21T17:21:31.399031120+00:00,0,1,1
2025-09-21T17:21:31.399039800+00:00,1,1,1
2025-09-21T17:21:31.399048480+00:00,0,1,1
2025-09-21T17:21:31.399057160+00:00,1,1,1
2025-09-21T17:21:31.399065840+00:00,0,1,1
2025-09-21T17:21:31.399074520+00:00,1,1,1
2025-09-21T17:21:31.399083200+00:00,0,1,1
2025-09-21T17:21:31.399100560+00:00,1,1,1
2025-09-21T17:21:31.399117920+00:00,0,1,1
2025-09-21T17:21:31.399126600+00:00,1,1,1
2025-09-21T17:21:31.399135280+00:00,0,1,1
2025-09-21T17:21:31.399161280+00:00,1,1,1
2025-09-21T17:21:31.399170000+00:00,0,1,1
